Date,Ticker,DailyReturn,Sector,Year,Month,Quarter
2020-01-02,AAPL,0.0031063929969328274,Technology,2020,1,1
2020-01-03,AAPL,-0.004907096131940403,Technology,2020,1,1
2020-01-06,AAPL,0.014271206380569001,Technology,2020,1,1
2020-01-07,AAPL,0.004291736225798148,Technology,2020,1,1
2020-01-08,AAPL,-0.012901776463904224,Technology,2020,1,1
2020-01-09,AAPL,0.021849651086449207,Technology,2020,1,1
2020-01-10,AAPL,-0.0017414659312481318,Technology,2020,1,1
2020-01-13,AAPL,-0.0012836637474554768,Technology,2020,1,1
2020-01-14,AAPL,0.00664681578259696,Technology,2020,1,1
2020-01-15,AAPL,-0.018681729865589802,Technology,2020,1,1
2020-01-16,AAPL,0.004622248912063087,Technology,2020,1,1
2020-01-17,AAPL,-0.002826712197560144,Technology,2020,1,1
2020-01-20,AAPL,-0.029324651198498364,Technology,2020,1,1
2020-01-21,AAPL,-0.018580379998992425,Technology,2020,1,1
2020-01-22,AAPL,0.0033284099421462265,Technology,2020,1,1
2020-01-23,AAPL,-0.020244625109272052,Technology,2020,1,1
2020-01-24,AAPL,0.004723890460953228,Technology,2020,1,1
2020-01-27,AAPL,-0.006861953560345246,Technology,2020,1,1
2020-01-28,AAPL,-0.01069510542293195,Technology,2020,1,1
2020-01-29,AAPL,0.019503913621223834,Technology,2020,1,1
2020-01-30,AAPL,-0.005354577602273647,Technology,2020,1,1
2020-01-31,AAPL,-0.005700467475761584,Technology,2020,1,1
2020-02-03,AAPL,-0.015938726803995995,Technology,2020,2,1
2020-02-04,AAPL,-0.01509591992450443,Technology,2020,2,1
2020-02-05,AAPL,-0.022752864165573428,Technology,2020,2,1
2020-02-06,AAPL,-0.009712597296612557,Technology,2020,2,1
2020-02-07,AAPL,0.01253042505353097,Technology,2020,2,1
2020-02-10,AAPL,-0.026604743657105856,Technology,2020,2,1
2020-02-11,AAPL,-0.011539853360563845,Technology,2020,2,1
2020-02-12,AAPL,-0.0015886210464346462,Technology,2020,2,1
